S/N,Division,Name of Merchant / Hawker stall,Trade of services/goods,Address,Postal Code
2198,Tanjong Pagar-Tiong Bahru,#01-33,CONFECTIONERY,30 SENG POH ROAD #01-33,168898
2199,Tanjong Pagar-Tiong Bahru,#01-37,WET MARKET,30 SENG POH ROAD #01-37,168898
2200,Tanjong Pagar-Tiong Bahru,#01-60,WET MARKET,30 SENG POH ROAD #01-60,168898
2201,Tanjong Pagar-Tiong Bahru,#01-62,WET MARKET,30 SENG POH ROAD #01-62,168898
2202,Tanjong Pagar-Tiong Bahru,#01-65,WET MARKET,30 SENG POH ROAD #01-65,168898
2203,Tanjong Pagar-Tiong Bahru,#01-67,WET MARKET,30 SENG POH ROAD #01-67,168898
2204,Tanjong Pagar-Tiong Bahru,#01-68,OTHERS: FLORIST,30 SENG POH ROAD #01-68,168898
2205,Tanjong Pagar-Tiong Bahru,#01-69,OTHERS: FLORIST,30 SENG POH ROAD #01-69,168898
2206,Tanjong Pagar-Tiong Bahru,#01-70,OTHERS: FLORIST,30 SENG POH ROAD #01-70,168898
2207,Tanjong Pagar-Tiong Bahru,#01-72,WET MARKET,30 SENG POH ROAD #01-72,168898
2208,Tanjong Pagar-Tiong Bahru,#01-79,WET MARKET,30 SENG POH ROAD #01-79,168898
2209,Tanjong Pagar-Tiong Bahru,#01-83,WET MARKET,30 SENG POH ROAD #01-83,168898
2210,Tanjong Pagar-Tiong Bahru,#01-84,WET MARKET,30 SENG POH ROAD #01-84,168898
2211,Tanjong Pagar-Tiong Bahru,#01-101,GROCERY/PROVISION SHOP/MINIMART,30 SENG POH ROAD #01-101,168898
2212,Tanjong Pagar-Tiong Bahru,#01-108,WET MARKET,30 SENG POH ROAD #01-108,168898
2213,Tanjong Pagar-Tiong Bahru,#01-109,WET MARKET,30 SENG POH ROAD #01-109,168898
2214,Tanjong Pagar-Tiong Bahru,#01-111,WET MARKET,30 SENG POH ROAD #01-111,168898
2215,Tanjong Pagar-Tiong Bahru,#01-112,WET MARKET,30 SENG POH ROAD #01-112,168898
2216,Tanjong Pagar-Tiong Bahru,#01-113,WET MARKET,30 SENG POH ROAD #01-113,168898
2217,Tanjong Pagar-Tiong Bahru,#01-114,WET MARKET,30 SENG POH ROAD #01-114,168898
2218,Tanjong Pagar-Tiong Bahru,#01-115,WET MARKET,30 SENG POH ROAD #01-115,168898
2219,Tanjong Pagar-Tiong Bahru,#01-117,WET MARKET,30 SENG POH ROAD #01-117,168898
2220,Tanjong Pagar-Tiong Bahru,#01-118,WET MARKET,30 SENG POH ROAD #01-118,168898
2221,Tanjong Pagar-Tiong Bahru,#01-119,WET MARKET,30 SENG POH ROAD #01-119,168898
2222,Tanjong Pagar-Tiong Bahru,#01-122,WET MARKET,30 SENG POH ROAD #01-122,168898
2223,Tanjong Pagar-Tiong Bahru,#01-123,WET MARKET,30 SENG POH ROAD #01-123,168898
2224,Tanjong Pagar-Tiong Bahru,#01-124,WET MARKET,30 SENG POH ROAD #01-124,168898
2225,Tanjong Pagar-Tiong Bahru,#01-125,WET MARKET,30 SENG POH ROAD #01-125,168898
2226,Tanjong Pagar-Tiong Bahru,#01-126,WET MARKET,30 SENG POH ROAD #01-126,168898
2227,Tanjong Pagar-Tiong Bahru,#01-127,WET MARKET,30 SENG POH ROAD #01-127,168898
2228,Tanjong Pagar-Tiong Bahru,#01-130,WET MARKET,30 SENG POH ROAD #01-130,168898
2229,Tanjong Pagar-Tiong Bahru,#01-133,WET MARKET,30 SENG POH ROAD #01-133,168898
2230,Tanjong Pagar-Tiong Bahru,#01-134,WET MARKET,30 SENG POH ROAD #01-134,168898
2231,Tanjong Pagar-Tiong Bahru,#01-135,WET MARKET,30 SENG POH ROAD #01-135,168898
2232,Tanjong Pagar-Tiong Bahru,#01-136,WET MARKET,30 SENG POH ROAD #01-136,168898
2233,Tanjong Pagar-Tiong Bahru,#01-137,WET MARKET,30 SENG POH ROAD #01-137,168898
2234,Tanjong Pagar-Tiong Bahru,#01-138,WET MARKET,30 SENG POH ROAD #01-138,168898
2235,Tanjong Pagar-Tiong Bahru,#01-140,WET MARKET,30 SENG POH ROAD #01-140,168898
2236,Tanjong Pagar-Tiong Bahru,#01-145,WET MARKET,30 SENG POH ROAD #01-145,168898
2237,Tanjong Pagar-Tiong Bahru,#01-146,WET MARKET,30 SENG POH ROAD #01-146,168898
2238,Tanjong Pagar-Tiong Bahru,#01-148,WET MARKET,30 SENG POH ROAD #01-148,168898
2239,Tanjong Pagar-Tiong Bahru,#01-150,WET MARKET,30 SENG POH ROAD #01-150,168898
2240,Tanjong Pagar-Tiong Bahru,#01-151,WET MARKET,30 SENG POH ROAD #01-151,168898
2241,Tanjong Pagar-Tiong Bahru,#01-152,WET MARKET,30 SENG POH ROAD #01-152,168898
2242,Tanjong Pagar-Tiong Bahru,#01-154,WET MARKET,30 SENG POH ROAD #01-154,168898
2243,Tanjong Pagar-Tiong Bahru,#01-158,WET MARKET,30 SENG POH ROAD #01-158,168898
2244,Tanjong Pagar-Tiong Bahru,#01-159,WET MARKET,30 SENG POH ROAD #01-159,168898
2245,Tanjong Pagar-Tiong Bahru,#01-161,WET MARKET,30 SENG POH ROAD #01-161,168898
2246,Tanjong Pagar-Tiong Bahru,#01-162,WET MARKET,30 SENG POH ROAD #01-162,168898
2247,Tanjong Pagar-Tiong Bahru,#01-165,WET MARKET,30 SENG POH ROAD #01-165,168898
2248,Tanjong Pagar-Tiong Bahru,#01-166,WET MARKET,30 SENG POH ROAD #01-166,168898
2249,Tanjong Pagar-Tiong Bahru,#01-167,WET MARKET,30 SENG POH ROAD #01-167,168898
2250,Tanjong Pagar-Tiong Bahru,#01-169,WET MARKET,30 SENG POH ROAD #01-169,168898
2251,Tanjong Pagar-Tiong Bahru,#01-170,WET MARKET,30 SENG POH ROAD #01-170,168898
2252,Tanjong Pagar-Tiong Bahru,#01-171,WET MARKET,30 SENG POH ROAD #01-171,168898
2253,Tanjong Pagar-Tiong Bahru,#01-173,WET MARKET,30 SENG POH ROAD #01-173,168898
2254,Tanjong Pagar-Tiong Bahru,#01-175,WET MARKET,30 SENG POH ROAD #01-175,168898
2255,Tanjong Pagar-Tiong Bahru,#01-176,WET MARKET,30 SENG POH ROAD #01-176,168898
2256,Tanjong Pagar-Tiong Bahru,#01-179,WET MARKET,30 SENG POH ROAD #01-179,168898
2257,Tanjong Pagar-Tiong Bahru,#01-182,WET MARKET,30 SENG POH ROAD #01-182,168898
2258,Tanjong Pagar-Tiong Bahru,#01-203,WET MARKET,30 SENG POH ROAD #01-203,168898
2259,Tanjong Pagar-Tiong Bahru,#01-207,WET MARKET,30 SENG POH ROAD #01-207,168898
2260,Tanjong Pagar-Tiong Bahru,SKIRT & DIRT,FOOD & BEVERAGES,30 SENG POH ROAD #02-66,168898
2261,Tanjong Pagar-Tiong Bahru,WESTERN FOOD,FOOD & BEVERAGES,30 SENG POH ROAD #02-54,168898
2262,Tanjong Pagar-Tiong Bahru,TAU SUAN,FOOD & BEVERAGES,30 SENG POH ROAD #02-55,168898
2263,Tanjong Pagar-Tiong Bahru,LIANG LIANG GARDEN,FOOD & BEVERAGES,30 SENG POH ROAD #02-75,168898
2264,Tanjong Pagar-Tiong Bahru,TAY PAYOH FISHBALL LAKSA,FOOD & BEVERAGES,30 SENG POH ROAD #02-37,168898
2265,Tanjong Pagar-Tiong Bahru,TIONG BAHRU PAUL,FOOD & BEVERAGES,30 SENG POH ROAD #02-18/ 19,168898
2266,Tanjong Pagar-Tiong Bahru,TIONG BAHRU TEOCHEW KUEH SINCE 1974,FOOD & BEVERAGES,30 SENG POH ROAD #02-02,168898
2267,Tanjong Pagar-Tiong Bahru,HING HING SOUP REPUBLIC,FOOD & BEVERAGES,30 SENG POH ROAD #02-48,168898
2268,Tanjong Pagar-Tiong Bahru,KIM FA FISHBALL NOODLE,FOOD & BEVERAGES,30 SENG POH ROAD #02-65,168898
2269,Tanjong Pagar-Tiong Bahru,TIONG BAHRU FRIED OYSTER OYSTER OMELETTE CHEE CHEONG FUN,FOOD & BEVERAGES,30 SENG POH ROAD #02-61,168898
2270,Tanjong Pagar-Tiong Bahru,HAINANESE BONELESS CHICKEN RICE,FOOD & BEVERAGES,30 SENG POH ROAD #02-82,168898
2271,Tanjong Pagar-Tiong Bahru,HAINANESE CHICKEN RICE,FOOD & BEVERAGES,30 SENG POH ROAD #02-47,168898
2272,Tanjong Pagar-Tiong Bahru,JOO CHIAT BEEF KING,FOOD & BEVERAGES,30 SENG POH ROAD #02-35,168898
2273,Tanjong Pagar-Tiong Bahru,TIONG BAHRU MIAN JIAN KUEH,FOOD & BEVERAGES,30 SENG POH ROAD #02-34,168898
2274,Tanjong Pagar-Tiong Bahru,JIAN BO SHUI KUEH,FOOD & BEVERAGES,30 SENG POH ROAD #02-05,168898
2275,Tanjong Pagar-Tiong Bahru,CHINA TOWN ZHONG ZHONG FINE SPICE,FOOD & BEVERAGES,30 SENG POH ROAD #02-22,168898
2276,Tanjong Pagar-Tiong Bahru,ORCHID THAI @ BOWYER,FOOD & BEVERAGES,1 HOSPITAL DRIVE SINGAPORE GENERAL HOSPITAL BOWYER BLOCK LEVEL #01-01A,169608
2277,Teck Ghee,EXPRESS MINI,GROCERY/PROVISION SHOP/MINIMART,ANG MO KIO AVE 1 #01-2310,560313
2278,Teck Ghee,KIN HANDMADE NOODLES & FISH SOUP & PIG'S ORGAN SOUP,FOOD & BEVERAGES,BLK 332 ANG MO KIO AVE 1 #01-1879,560332
2279,Teck Ghee,332 ANG MO KIO BQ - RONG KEE ROASTED DELIGHTS,FOOD & BEVERAGES,"BLK 332 ANG MO KIO AVENUE 1 #01-
1879",560332
2280,Teck Ghee,PIAK LAN TENG,GROCERY/PROVISION SHOP/MINIMART,BLK 338 ANG MO KIO AVE 1 #01-1609,560338
2281,Teck Ghee,WAN SIEW CHOON MEDICAL HALL,CLINIC/PHARMACY/HEALTHCARE,BLK 338 ANG MO KIO AVE 1 #01-1619,560338
2282,Teck Ghee,TAY TIAM HOE,WET MARKET,BLK 341 ANG MO KIO AVE 1 #01-109,560341
2283,Teck Ghee,ENG KEE BAH KUT TEH,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-04,560341
2284,Teck Ghee,LIANG LIANG DRINK STALL,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-17,560341
2285,Teck Ghee,XIANG PIN VEGETARIAN,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-32,560341
2286,Teck Ghee,TIAN YI HAI WEI BU PIN SHANG HANG,GROCERY/PROVISION SHOP/MINIMART,BLK 341 ANG MO KIO AVE 1 #01-37,560341
2287,Teck Ghee,N.A.,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-12,560341
2288,Teck Ghee,H&Z MUSLIM FOOD STALL,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-26,560341
2289,Teck Ghee,ENG KEE PRAWN NOODLE,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-09,560341
2290,Teck Ghee,RONG JI,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-19,560341
2291,Teck Ghee,KIM POH PROVISION SHOP,GROCERY/PROVISION SHOP/MINIMART,BLK 341 ANG MO KIO AVE 1 #01-36,560341
2292,Teck Ghee,ANG MO KIO CURRY RICE,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-25,560341
2293,Teck Ghee,YONG COFFEE TEA HOUSE,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-06,560341
2294,Teck Ghee,TAT LEE LOCKSMITH,HARDWARE AND REPAIRS SHOP,BLK 341 ANG MO KIO AVE 1 #01-56,560341
2295,Teck Ghee,#01-98,WET MARKET,BLK 341 ANG MO KIO AVE 1 #01-98,560341
2296,Teck Ghee,341 COOKED FOOD,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-08,560341
2297,Teck Ghee,明日素食,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-05,560341
2298,Teck Ghee,HUAT HENG PRAWN NOODLE STALL,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-16,560341
2299,Teck Ghee,粥,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-30,560341
2300,Teck Ghee,YAP HENG NASI LEMAK,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-18,560341
2301,Teck Ghee,CI YUAN VEGETARIAN FOOD,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-24,560341
2302,Teck Ghee,SELERA KAMPONG NASI PADANG,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-28,560341
2303,Teck Ghee,HALAL PRESERVED & DRIED GOODS,WET MARKET,BLK 341 ANG MO KIO AVE 1 #01-68,560341
2304,Teck Ghee,合作云吞面,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-20,560341
2305,Teck Ghee,N.A.,WET MARKET,BLK 341 ANG MO KIO AVE 1 #01-83,560341
2306,Teck Ghee,LAI LAI COFFEE STALL,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-21,560341
2307,Teck Ghee,HIAP HOE HING ENTERPRISE,WET MARKET,BLK 341 ANG MO KIO AVE 1 #01- 38/39/40,560341
2308,Teck Ghee,TECK HUAT COFFEE ROTI,FOOD & BEVERAGES,BLK 341 ANG MO KIO AVE 1 #01-31,560341
2309,Teck Ghee,U-VENTURE INVESTMENT PTE LTD (OMO STORE@AMK 347),GROCERY/PROVISION SHOP/MINIMART,"BLK 347 ANG MO KIO AVE 3
#01-2132 SINGAPORE",560347
2310,Teck Ghee,QIANWEI CUSINE PTE LTD,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10 #01-33,560407
2311,Teck Ghee,GAY MENG HAIR-DRESSING & BEAUTY SALOON,HAIR SALON/BARBER SHOP,BLK 407 ANG MO KIO AVE 10 #01-763,560407
2312,Teck Ghee,ANG MO SUPERMARKET PTE LTD,GROCERY/PROVISION SHOP/MINIMART,"BLK 407 ANG MO KIO AVENUE 10 #01-
751",560407
2313,Teck Ghee,BEVERAGES,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2314,Teck Ghee,銀糊麻辣香锅,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2315,Teck Ghee,好味鱼汤,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2316,Teck Ghee,SISTER WAH,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2317,Teck Ghee,百米粉｜韩国餐,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2318,Teck Ghee,ROASTED DELIGHTS,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2319,Teck Ghee,INDIAN MUSLIM FOOD,FOOD & BEVERAGES,BLK 407 ANG MO KIO AVE 10,560407
2320,Teck Ghee,WEIMEI SI HANDMADE NOODLE,FOOD & BEVERAGES,BLK 408 ANG MO KIO AVE 10,560408
2321,Teck Ghee,RAM AMUTHA PTE LTD,GROCERY/PROVISION SHOP/MINIMART,BLK 408 ANG MO KIO AVE 10 #01-785,560408
2322,Teck Ghee,NEW HAI OWE CONFECTIONARY,CONFECTIONERY,BLK 408 ANG MO KIO AVE 10 #01-799,560408
2323,Teck Ghee,BEST PRICE CONFECTIONARY,CONFECTIONERY,BLK 408 ANG MO KIO AVE 10 #01-801,560408
2324,Teck Ghee,99 NONYA KUEH,CONFECTIONERY,"BLK 408 ANG MO KIO AVENUE 10, #01-
801",560408
2325,Teck Ghee,A.M.K 408 SEAFOOD,FOOD & BEVERAGES,BLK 408 ANG MO KIO AVE 10 #01-805,560408
2326,Teck Ghee,客香鱼圆面,FOOD & BEVERAGES,BLK 409 ANG MO KIO AVE 10 #01-06,560409
2327,Teck Ghee,AH SAN INDONESIA FRESH PORK,WET MARKET,BLK 409 ANG MO KIO AVE 10 #01- 136/137,560409
2328,Teck Ghee,XIANG JI JI FAN,FOOD & BEVERAGES,BLK 409 ANG MO KIO AVE 10 #01-11,560409
2329,Teck Ghee,NIL,WET MARKET,BLK 409 ANG MO KIO AVE 10 #01-93/94,560409
2330,Teck Ghee,NIL,WET MARKET,BLK 409 ANG MO KIO AVE 10 #01- 117/118,560409
2331,Teck Ghee,HAPPY STATION FOODSTUFFS,FOOD & BEVERAGES,"BLK 409 ANG MO KIO AVE 10,#01-63",560409
2332,Teck Ghee,CHANG JIANG MEDICAL & TRADING,CLINIC/PHARMACY/HEALTHCARE,BLK 410 ANG MO KIO AVE 10 #01-851,560410
2333,Teck Ghee,SHINNING STAR ENTERPRISE,GROCERY/PROVISION SHOP/MINIMART,BLK 410 ANG MO KIO AVE 10 #01-839,560410
2334,Teck Ghee,1321 水果店,FOOD & BEVERAGES,BLK 410 ANG MO KIO AVE 10 #01-853,560410
2335,Teck Ghee,3G HAIR STUDIO,HAIR SALON/BARBER SHOP,BLK 416 ANG MO KIO AVE 10 #01-993,560416
2336,Teck Ghee,STA. MARIA MINI MART,GROCERY/PROVISION SHOP/MINIMART,BLK 416 ANG MO KIO AVE 10 #01-989,560416
2337,Teck Ghee,GRILL DELIGHT,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2338,Teck Ghee,BANGKOK STREET MOOKATA,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2339,Teck Ghee,CHIANGMAI THAI KITCHEN,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2340,Teck Ghee,THE FAMOUS ZHOU PORRIDGE,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2341,Teck Ghee,ANG MO KIO BIG PRAWN NOODLE,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2342,Teck Ghee,NASI LEMAK SEDAP,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2343,Teck Ghee,AYYUB INDIAN FOOD,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2344,Teck Ghee,HOT AND COLD DRINKS STALL,FOOD & BEVERAGES,BLK 421 ANG MO KIO AVE 10 #01-1149,560421
2345,Teck Ghee,FRIENDLY VEGETARIAN FOOD SUPPLIER,GROCERY/PROVISION SHOP/MINIMART,BLK 421 ANG MO KIO AVE 10 #01-1165,560421
2346,Teck Ghee,VENUS BEAUTY PTE LTD,OTHERS: BEAUTY / TOILETRIES,702 ANG MO KIO AVE 8 #01-2507,560702
2347,Teck Ghee,JIN TAI MART,GROCERY/PROVISION SHOP/MINIMART,"BLK 703 ANG MO KIO AVE 8, 01-2535",560703
2348,Teck Ghee,PINK BEAUTY COSMETICS PTE LTD,OTHERS: BEAUTY / TOILETRIES,705 ANG MO KIO AVE 8 #01-2571,560705
2349,Teck Ghee,VISION IMAGE OPTICAL CENTRE,OTHERS: OPTICAL,BLK 709 ANG MO KIO AVE 8 #01-2591,560709
2350,Teck Ghee,HWA AIK GENERAL STORE,OTHERS: HOUSEHOLD,711 ANG MO KIO AVENUE 8,560711
2351,Teck Ghee,CHUAN LONG HOMEWARES,HARDWARE AND REPAIRS SHOP,BLK 720 ANG MO KIO AVE 6 #01-4130,560720
2352,Teck Ghee,OK CHICKEN (AMK),FOOD & BEVERAGES,BLK 721 AMK AVE 8 #01-2823,560721
2353,Teck Ghee,WESTERN FOOD,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2354,Teck Ghee,SEAFOOD,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2355,Teck Ghee,BAN MIAN,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2356,Teck Ghee,CURRY CHICKEN,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2357,Teck Ghee,PRAWN NOODLE,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2358,Teck Ghee,CHICKEN RICE,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2359,Teck Ghee,BAKUTEH,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2360,Teck Ghee,CURRY PUFF,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2361,Teck Ghee,DIM SUM,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2362,Teck Ghee,DRINKS STALL,FOOD & BEVERAGES,"BLK 722 ANG MO KIO AVE 8, #01-2843",560722
2363,Teck Ghee,CENTRE SATAY BEEHOON,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-12,560724
2364,Teck Ghee,LONG QUAN CHA SHI,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-29,560724
2365,Teck Ghee,BAN CHUAN DUCK RICE,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-19,560724
2366,Teck Ghee,HUP HUP MINCED MEAT NOODLES,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-39,560724
2367,Teck Ghee,THE-ICEBREAKER,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-37,560724
2368,Teck Ghee,HONG CHONG WANTON NOODLE,FOOD & BEVERAGES,BLK 724 ANG MO KIO AVE 6 #01-21,560724
2369,Teck Ghee,VINCENT WESTERN FOOD,FOOD & BEVERAGES,BLK 724 AMK AVE 6 #01-08,560724
2370,Teck Ghee,DUKE OPTICAL & TRADING PTE LTD,OTHERS: OPTICAL,BLK 726 ANG MO KIO AVE 6 #01-4166,560726
2371,Teck Ghee,DRINK STALL,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2372,Teck Ghee,SEAFOOD,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2373,Teck Ghee,FISH SOUP,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2374,Teck Ghee,"MINCED
PORK NOODLE",FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2375,Teck Ghee,CLAYPOT DELIGHT,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2376,Teck Ghee,CURRY RICE,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2377,Teck Ghee,WESTERN FOOD,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2378,Teck Ghee,ROASTED DELIGHTS,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2379,Teck Ghee,PANCAKE,FOOD & BEVERAGES,BLK 727 ANG MO KIO AVE 6 #01-4236,560727
2380,Teck Ghee,什菜饭,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2381,Teck Ghee,KOREAN / JAPANESE CUISINE,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2382,Teck Ghee,QUAY & HOKKIEN MEE,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2383,Teck Ghee,LAO ZI HAO KWAY CHAP,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2384,Teck Ghee,HUP HENG SATAY,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2385,Teck Ghee,DRINK STALL,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2386,Teck Ghee,226B TEOCHEW FISH HEAD STEAMBOAT,FOOD & BEVERAGES,BLK 226B ANG MO KIO AVE 1 #01-645,562226
2387,Teck Ghee,FRESH SOYA BEAN,FOOD & BEVERAGES,BLK 226D #01-107 AMK AVE 1,564226
2388,Teck Ghee,RU LAI VEGETARIAN FOOD,FOOD & BEVERAGES,BLK 226D #01-108 AMK AVE 1,564226
2389,Teck Ghee,香传 BAKED,FOOD & BEVERAGES,BLK 226D #01-106 AMK AVE 1,564226
2390,Teck Ghee,HAI KEE HAINANESE KAMPONG CHICKEN RICE,FOOD & BEVERAGES,BLK 226F ANG MO KIO STREET 22,566226
2391,Teck Ghee,VEERAA FOODS PTE LTD,FOOD & BEVERAGES,BLK 226F #01-697 AMK AVE 1 STALL NO.5,566226
2392,Teck Ghee,SG MARKET PRICE PTE LTD,FOOD & BEVERAGES,BLK 226G #01-687 AMK AVE 1,567226
2393,Teck Ghee,CAKE IN ACTION BY 新时代,CONFECTIONERY,BLK 226G #01-685 AMK AVE 1,567226
2394,Teck Ghee,TEA HOUSE,FOOD & BEVERAGES,BLK 226H ANG MO KIO STREET 22 #01- 28,568226
2395,Teck Ghee,MIX VEGETABLE RICE. TEOCHEW PORRIDGE,FOOD & BEVERAGES,BLK 226H ANG MO KIO STREET 22 #01- 12,568226
2396,Teck Ghee,ANG MO KIO FRESH FRUIT,FOOD & BEVERAGES,BLK 226H ANG MO KIO STREET 22 #01- 01,568226
2397,Teck Ghee,A1 HOUSE OF CLAYPOT,WET MARKET,BLK 226H #01-02 AMK ST 22,568226
2398,Toa Payoh Central,QUAN XIANG PRAWN NOODLE,FOOD & BEVERAGES,66 LORONG 4 TOA PAYOH COFFEE SHOP,310066
2399,Toa Payoh Central,RUMAH MARIAM,FOOD & BEVERAGES,66 LORONG 4 TOA PAYOH #01-327,310066
2400,Toa Payoh Central,DANROLL CAKE PTE LTD,CONFECTIONERY,66 LORONG 4 TOA PAYOH #01-309,310066
2401,Toa Payoh Central,TEO CHEW FISH SOUP,FOOD & BEVERAGES,66 TOA PAYOH LORONG 4 #01-327,310066
2402,Toa Payoh Central,CHEE WEI VEGETARIAN,FOOD & BEVERAGES,66 TOA PAYOH LORONG 4 #01-327,310066
2403,Toa Payoh Central,MALA XIANG GUO,FOOD & BEVERAGES,BLK 66 LORONG 4 TOA PAYOH #01-36,310066
2404,Toa Payoh Central,11 STAR HAIR SALON,HAIR SALON/BARBER SHOP,69 LORONG 4 TOA PAYOH #01-359,310069
2405,Toa Payoh Central,CHENNAI MART PTE LTD,GROCERY/PROVISION SHOP/MINIMART,70 LORONG 4 TOA PAYOH #01-353,310070
2406,Toa Payoh Central,TENG YANG ORGANIC TRADING,GROCERY/PROVISION SHOP/MINIMART,70 LORONG 4 TOA PAYOH #01-331,310070
2407,Toa Payoh Central,SOON SENG GROCERY MARKETING,GROCERY/PROVISION SHOP/MINIMART,70 LORONG 4 TOA PAYOH #01-341,310070
2408,Toa Payoh Central,TONGKEOW MEDICAL HALL PTE LTD,CLINIC/PHARMACY/HEALTHCARE,70 LORONG 4 TOA PAYOH #01-333,310070
2409,Toa Payoh Central,BELLEZA PERFECCION,HAIR SALON/BARBER SHOP,"BLOCK 71 LORONG 4 TOA PAYOH #01-
393",310071
2410,Toa Payoh Central,XIANG JI 73,FOOD & BEVERAGES,73 LORONG 4 TOA PAYOH #01-585,310073
2411,Toa Payoh Central,D'KOFFIE,FOOD & BEVERAGES,73 LORONG 4 TOA PAYOH #01-585,310073
2412,Toa Payoh Central,MAKAN-MAKAN,FOOD & BEVERAGES,73 LORONG 4 TOA PAYOH #01-585,310073
2413,Toa Payoh Central,FU LEE SEAFOOD,FOOD & BEVERAGES,73 TOA PAYOH LORONG 4 #01-611,310073
2414,Toa Payoh Central,DE TIAN DRINK STALL,FOOD & BEVERAGES,73 TOA PAYOH LORONG 4 #01-611,310073
